Semaine,2020,Moyenne 2015-2019
5 janvier,41.0,52.6
12 janvier,35.0,46.8
19 janvier,52.0,42.4
26 janvier,41.0,40.6
2 février,50.0,43.0
9 février,40.0,48.0
16 février,48.0,46.8
23 février,50.0,50.8
1 mars,24.0,45.6
8 mars,34.0,42.8
15 mars,41.0,38.4
22 mars,50.0,40.8
29 mars,56.0,40.0
5 avril,65.0,41.6
12 avril,57.0,35.0
19 avril,73.0,37.8
26 avril,40.0,38.4
3 mai,29.0,37.4
10 mai,30.0,35.2
17 mai,41.0,31.2
24 mai,35.0,39.0
31 mai,35.0,28.8
7 juin,35.0,33.4
14 juin,35.0,34.0
21 juin,40.0,35.6
28 juin,42.0,35.6
5 juillet,39.0,36.4
12 juillet,36.0,37.8
19 juillet,30.0,34.8
26 juillet,34.0,34.0
2 août,43.0,35.6
9 août,25.0,40.0
16 août,39.0,36.2
23 août,38.0,33.4
30 août,41.0,36.2
6 septembre,41.0,36.2
13 septembre,43.0,39.4
20 septembre,48.0,41.8
27 septembre,43.0,36.8
4 octobre,47.0,36.8
11 octobre,42.0,37.0
18 octobre,43.0,37.6
25 octobre,63.0,39.8
1er novembre,75.0,36.8
