,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11,Colonne 12,Colonne 13,Colonne 14,Colonne 15,Colonne 16,Colonne 17,Colonne 18,Colonne 19,Colonne 20,Colonne 21,Colonne 22,Colonne 23,Colonne 24,Colonne 25,Colonne 26,Colonne 27,Colonne 28,Colonne 29,Colonne 30,Colonne 31,Colonne 32,Colonne 33,Colonne 34,Colonne 35,Colonne 36,Colonne 37,Colonne 38,Colonne 39,Colonne 40,Colonne 41,Colonne 42,Colonne 43,Colonne 44,Colonne 45,Colonne 46,Colonne 47,Colonne 48,Colonne 49,Colonne 50,Colonne 51,Colonne 52,Colonne 53,Colonne 54,Colonne 55,Colonne 56,Colonne 57,Colonne 58,Colonne 59,Colonne 60,Cas
AG,4852,4908,4928,4916,4873,4782,4727,4714,4558,4414,4269,4122,3960,3854,3797,3626,3487,3338,3198,3068,2985,2916,2819,2770,2745,2729,2733,2731,2710,2796,2908,3090,3312,3501,3632,3723,4017,4246,4444,4662,4844,4964,5051,5271,5359,5379,5390,5394,5363,5306,5158,4989,4791,4565,4357,4188,4071,3710,3427,3157,3157
AI,3787,3891,3989,4131,4118,4063,4100,4100,4370,4499,4573,4542,4327,4198,4229,4315,4241,4088,4026,4008,3934,3928,3621,3345,3302,3204,3210,3173,3112,3020,3204,3449,3689,3885,3922,3922,3989,4198,4186,4278,4272,4290,4284,4124,3848,3345,3149,2885,2842,2836,2793,2504,2320,2167,2050,2019,2019,1878,1669,1602,1602
AR,4426,4478,4413,4448,4388,4336,4289,4256,4140,3978,4032,3961,3846,3817,3804,3706,3658,3576,3513,3424,3310,3282,3197,3110,3095,3150,3097,3066,3068,3197,3356,3442,3560,3636,3741,3739,3894,4084,4169,4213,4343,4392,4394,4408,4392,4375,4332,4332,4330,4327,4271,4061,3898,3696,3491,3399,3379,3106,2877,2651,2651
BE,5135,5230,5300,5349,5315,5268,5245,5232,5119,5001,4870,4700,4523,4436,4364,4140,3958,3781,3618,3482,3385,3330,3207,3121,3051,3008,2987,2982,2995,3023,3070,3148,3265,3359,3440,3501,3690,3854,4029,4222,4368,4487,4556,4752,4900,4985,5015,5033,5025,5001,4938,4807,4624,4414,4207,4025,3881,3575,3284,3016,3016
BL,5269,5451,5532,5581,5568,5481,5429,5441,5338,5247,5121,5015,4909,4872,4779,4574,4420,4252,4076,3946,3864,3771,3596,3486,3428,3352,3279,3255,3225,3147,3118,3181,3278,3381,3463,3532,3610,3684,3780,3996,4263,4504,4765,5283,5624,5817,5952,6099,6159,6193,6377,6418,6383,6226,6001,5785,5534,5042,4646,4312,4312
BS,5519,5544,5593,5573,5544,5431,5332,5295,5137,4964,4705,4563,4391,4342,4277,4088,3931,3825,3623,3459,3435,3396,3325,3244,3262,3200,3151,3121,3103,3118,3072,3021,3064,3100,3144,3187,3224,3283,3326,3432,3686,3992,4222,4742,5147,5454,5675,5899,6062,6130,6354,6475,6569,6521,6327,6119,5930,5488,5096,4748,4748
CH,5604,5621,5589,5531,5430,5311,5237,5192,5005,4807,4624,4445,4262,4154,4071,3856,3672,3499,3330,3181,3084,3011,2866,2751,2660,2585,2530,2496,2479,2470,2492,2558,2677,2794,2885,2958,3135,3293,3448,3605,3753,3860,3938,4130,4254,4322,4345,4347,4329,4304,4257,4168,4039,3894,3742,3621,3518,3268,3043,2829,2829
FR,7202,7192,7160,7088,6919,6807,6701,6591,6328,6083,5816,5578,5314,5135,4972,4662,4392,4093,3842,3595,3407,3265,3018,2802,2621,2484,2334,2225,2168,2046,1977,1931,1953,1958,1998,2034,2111,2192,2259,2313,2377,2422,2464,2567,2598,2651,2684,2685,2661,2639,2604,2554,2504,2442,2375,2328,2269,2159,2057,1936,1936
GE,7565,7372,7125,6858,6530,6164,5984,5846,5347,4848,4452,4110,3784,3584,3445,3054,2727,2427,2199,2026,1896,1827,1649,1538,1433,1335,1273,1232,1216,1162,1156,1143,1150,1152,1160,1164,1191,1217,1244,1290,1338,1378,1409,1512,1594,1679,1744,1801,1832,1861,1921,1969,2005,2022,2024,2014,2009,1995,1966,1929,1929
GL,5500,5618,5567,5586,5505,5429,5381,5400,5011,4717,4507,4355,4208,4157,4083,3868,3802,3638,3591,3466,3371,3295,3202,3067,2982,2923,2920,2835,2837,2886,2793,2869,2915,3089,3150,3199,3366,3385,3547,3716,3807,3895,3919,4122,4191,4135,4090,4022,3995,3968,3946,3831,3603,3344,3165,3072,3011,2649,2421,2338,2338
GR,4832,4783,4728,4683,4610,4574,4575,4553,4462,4388,4366,4317,4235,4191,4172,4110,4042,3956,3846,3719,3646,3625,3567,3519,3454,3461,3437,3471,3476,3506,3577,3639,3783,3964,4052,4105,4297,4434,4557,4644,4742,4743,4748,4831,4847,4849,4788,4676,4617,4567,4353,4178,3968,3764,3576,3463,3397,3127,2892,2673,2673
JU,5991,6030,6162,6192,6105,5988,6056,6041,5804,5364,5008,4716,4435,4318,4217,3796,3422,3129,2878,2720,2563,2435,2225,2076,1903,1827,1726,1635,1582,1559,1536,1517,1574,1632,1655,1703,1833,1955,2127,2205,2296,2427,2499,2568,2625,2675,2658,2632,2639,2603,2552,2492,2342,2237,2163,2053,1989,1912,1783,1667,1667
LU,5802,5787,5799,5784,5659,5597,5515,5468,5396,5282,5187,5115,4972,4934,4881,4791,4645,4490,4392,4202,4103,4003,3861,3645,3466,3243,3116,3017,2976,2931,2956,3099,3397,3770,4115,4358,4699,5034,5318,5592,5830,5990,6083,6204,6254,6139,5887,5603,5311,5114,4803,4501,4189,3890,3606,3391,3208,2900,2625,2395,2395
NE,8047,8091,8058,8018,7785,7600,7440,7372,7050,6668,6358,6050,5718,5542,5383,4949,4554,4210,3911,3649,3473,3355,3071,2879,2695,2492,2328,2193,2124,1932,1774,1750,1724,1729,1717,1726,1737,1700,1713,1737,1768,1794,1811,1947,2076,2092,2151,2187,2214,2225,2253,2321,2333,2338,2330,2332,2321,2259,2216,2138,2138
NW,6477,6572,6618,6700,6625,6556,6535,6480,6225,5995,5735,5462,5131,4979,4887,4660,4432,4157,3934,3725,3676,3562,3380,3215,3038,2780,2704,2642,2608,2606,2642,2780,2950,3194,3385,3536,3844,4019,4212,4439,4612,4766,4786,4860,4922,4796,4623,4444,4267,4127,3902,3711,3511,3295,3118,2960,2868,2594,2323,2167,2167
