Date,Nombre de doses administrées
2021-04-08,1701
2021-04-09,1416
2021-04-10,802
2021-04-11,791
2021-04-12,1110
2021-04-13,1492
2021-04-14,1521
2021-04-15,1354
2021-04-16,1256
2021-04-17,892
2021-04-18,887
2021-04-19,951
2021-04-20,1320
2021-04-21,1066
2021-04-22,1073
2021-04-23,1033
2021-04-24,846
2021-04-25,614
2021-04-26,910
2021-04-27,1566
2021-04-28,1542
2021-04-29,1185
2021-04-30,1305
2021-05-01,871
2021-05-02,788
2021-05-03,1976
2021-05-04,2374
2021-05-05,2459
2021-05-06,2481
2021-05-07,2002
2021-05-08,1742
2021-05-09,1695
2021-05-10,2313
2021-05-11,2454
2021-05-12,2518
2021-05-13,2234
2021-05-14,2177
2021-05-15,1992
2021-05-16,1895
2021-05-17,2290
2021-05-18,2544
2021-05-19,2637
2021-05-20,2422
2021-05-21,2269
2021-05-22,1975
2021-05-23,1811
2021-05-24,2144
2021-05-25,2574
2021-05-26,2388
2021-05-27,2425
2021-05-28,2339
2021-05-29,1973
2021-05-30,1742
2021-05-31,2417
2021-06-01,3003
2021-06-02,2977
2021-06-03,1945
2021-06-04,2620
2021-06-05,2072
2021-06-06,2066
